Disciplina,Semestre,Turma,Docente,Situação,Modalidade,Status,Código e Horário,Local,Alunos
,Ensino,Pesquisa,Extensão,Monitoria,Ações Integradas,Bolsas,Estágio,"<span class=""ThemeOfficeMainFolderLeft""><img src=""/sigaa/img/icones/amb_virt.png""></span><span class=""ThemeOfficeMainFolderText"">Ambientes Virtuais</span><span class=""ThemeOfficeMainFolderRight"">&nbsp;</span>",RESUN
ESTRUTURAS DE DADOS (GRADUAÇÃO),2024.1,Turma 04,CARLOS ALBERTO ESTOMBELO MONTESCO (60h),REGULAR,PRESENCIAL,ABERTA,6N1234,6 - 19:00h-22:15h SALA DE AULA - DID 5 - 007,43/55 alunos
FUNDAMENTOS DE SISTEMAS DIGITAIS (GRADUAÇÃO),2024.1,Turma 01,EDWARD DAVID MORENO ORDONEZ (60h),REGULAR,PRESENCIAL,ABERTA,35T12,3 - 13:30h-15:00 SALA DE AULA - DID 6 - 102 / 5 - 13:30h-15:00 SALA DE AULA - DID 6 - 102,53/55 alunos
FUNDAMENTOS DE SISTEMAS DIGITAIS (GRADUAÇÃO),2024.1,Turma 02,RAFAEL OLIVEIRA VASCONCELOS (60h),REGULAR,PRESENCIAL,ABERTA,35T34,3 - 15:15h-16:00h SALA DE AULA - DID 5 - 103 / 3 - 16:00h-16:45h SALA DE AULA - DID 5 - 103 / 5 - 15:15h-16:00h SALA DE AULA - DID 6 - 102 / 5 - 16:00h-16:45h SALA DE AULA - DID 6 - 102,55/55 alunos
FUNDAMENTOS DE SISTEMAS DIGITAIS (GRADUAÇÃO),2024.1,Turma 03,CALEBE MICAEL DE OLIVEIRA CONCEICAO (60h),REGULAR,PRESENCIAL,ABERTA,35T34,3 - 15:15h-16:00h SALA DE AULA - DID 5 - 010 / 3 - 16:00h-16:45h SALA DE AULA - DID 5 - 010 / 5 - 15:15h-16:00h SALA DE AULA - DID 5 - 010 / 5 - 16:00h-16:45h SALA DE AULA - DID 5 - 010,34/55 alunos
GESTÃO DE SISTEMAS DE INFORMAÇÃO (GRADUAÇÃO),2024.1,Turma 01,ROGERIO PATRICIO CHAGAS DO NASCIMENTO (60h),REGULAR,PRESENCIAL,ABERTA,6N1234,6 - 19:00h-22:15h SALA DE AULA  - DID 5 - 001,48/55 alunos
GRAFOS E ALGORITMOS COMPUTACIONAIS (GRADUAÇÃO),2024.1,Turma 01,DANIEL OLIVEIRA DANTAS (60h),REGULAR,PRESENCIAL,ABERTA,24T34,2 - 15:15h-16:00h SALA DE AULA - DID 5 - 004 / 2 - 16:00h-16:45h SALA DE AULA - DID 5 - 004 / 4 - 15:15h-16:00h SALA DE AULA - DID 5 - 004 / 4 - 16:00h-16:45h SALA DE AULA - DID 5 - 004,46/55 alunos
GRAFOS E ALGORITMOS COMPUTACIONAIS (GRADUAÇÃO),2024.1,Turma 02,BRENO PIVA RIBEIRO (60h),REGULAR,PRESENCIAL,ABERTA,35T34,3 - 15:15h-16:00h SALA DE AULA - DID 4 - 110 / 3 - 16:00h-16:45h SALA DE AULA - DID 4 - 110 / 5 - 15:15h-16:00h SALA DE AULA - DID 5 - 003 / 5 - 16:00h-16:45h SALA DE AULA - DID 5 - 003,42/55 alunos
INFORMÁTICA EDUCATIVA (GRADUAÇÃO),2024.1,Turma 01,HENRIQUE NOU SCHNEIDER (60h),REGULAR,PRESENCIAL,ABERTA,24T56,2 - 17:00h-18:30h SALA DE AULA  - DID 5 - 001 / 4 - 17:00h-18:30h SALA DE AULA  - DID 5 - 001,48/50 alunos
"INFORMÁTICA, ÉTICA E SOCIEDADE (GRADUAÇÃO)",2024.1,Turma 01,ROGERIO PATRICIO CHAGAS DO NASCIMENTO (60h),REGULAR,PRESENCIAL,ABERTA,24T56,2 - 17:00h-18:30h SALA DE AULA - DID 3 - 113 / 4 - 17:00h-18:30h SALA DE AULA - DID 3 - 116,55/55 alunos
"INFORMÁTICA, ÉTICA E SOCIEDADE (GRADUAÇÃO)",2024.1,Turma 02,HENRIQUE NOU SCHNEIDER (60h),REGULAR,PRESENCIAL,ABERTA,24T34,2 - 15:15h-16:00 SALA DE DESENHO              DID 4 - 016 / 2 - 16:00h-16:45 SALA DE DESENHO              DID 4 - 016 / 4 - 15:15h-16:00 SALA DE DESENHO              DID 4 - 016 / 4 - 16:00h-16:45 SALA DE DESENHO              DID 4 - 016,55/55 alunos
INFORMATICA INSTRUMENTAL (GRADUAÇÃO),2024.1,Turma 01,VERÔNICA DOS SANTOS NASCIMENTO (60h),REGULAR,PRESENCIAL,ABERTA,34M56,3 - 11:00h-12:30h SALA DE AULA - DID 4 - 005 / 4 - 11:00h-12:30h SALA DE AULA - DID 4 - 109,52/55 alunos
INFORMATICA INSTRUMENTAL (GRADUAÇÃO),2024.1,Turma 02,VITÓRIA TELES DA SILVA (60h),REGULAR,PRESENCIAL,ABERTA,26T56,2 - 17:00h-18:30h SALA DE AULA - DID 1 - 007 / 6 - 17:00h-18:30h SALA DE AULA - DID 1 - 001,40/55 alunos
INFORMÁTICA INSTRUMENTAL (GRADUAÇÃO),2024.1,Turma 01,CAMILA PATRICIA CARDOSO DOS SANTOS (60h),REGULAR,PRESENCIAL,ABERTA,4N12 6N34,4 - 19:00h-20:30 SALA DE AULA - DID 4 - 113 / 6 - 20:45h-22:15 SALA DE AULA - DID 4 - 007,51/55 alunos
INTELIGÊNCIA ARTIFICIAL (GRADUAÇÃO),2024.1,Turma 01,CARLOS ALBERTO ESTOMBELO MONTESCO (60h),REGULAR,PRESENCIAL,ABERTA,24T34,2 - 15:15h-16:00h SALA DE AULA - DID 4 - 109 / 2 - 16:00h-16:45h SALA DE AULA - DID 4 - 109 / 4 - 15:15h-16:00h SALA DE AULA - DID 4 - 109 / 4 - 16:00h-16:45h SALA DE AULA - DID 4 - 109,52/50 alunos
INTELIGÊNCIA ARTIFICIAL (GRADUAÇÃO),2024.1,Turma IND01,CARLOS ALBERTO ESTOMBELO MONTESCO (4h),ENSINO INDIVIDUAL,PRESENCIAL,ABERTA,,Local a Definir,1/1 alunos
INTERFACE HARDWARE/SOFTWARE (GRADUAÇÃO),2024.1,Turma 01,BRUNO OTAVIO PIEDADE PRADO (60h),REGULAR,PRESENCIAL,ABERTA,35T34,3 - 15:15h-16:00h SALA DE AULA - DID 1 - 004 / 3 - 16:00h-16:45h SALA DE AULA - DID 1 - 004 / 5 - 15:15h-16:00h SALA DE AULA - DID 1 - 011 / 5 - 16:00h-16:45h SALA DE AULA - DID 1 - 011,39/50 alunos
INTERFACE HARDWARE/SOFTWARE (GRADUAÇÃO),2024.1,Turma 03,CALEBE MICAEL DE OLIVEIRA CONCEICAO (60h),REGULAR,PRESENCIAL,ABERTA,35T56,3 - 17:00h-18:30h SALA DE AULA - DID 4 - 109 / 5 - 17:00h-18:30h SALA DE AULA - DID 4 - 109,49/50 alunos
INTERFACE HUMANO-COMPUTADOR (GRADUAÇÃO),2024.1,Turma IND01,MICHEL DOS SANTOS SOARES (4h),ENSINO INDIVIDUAL,PRESENCIAL,ABERTA,,Local a Definir,1/1 alunos
LABORATÓRIO DE REDES DE COMPUTADORES (GRADUAÇÃO),2024.1,Turma 01,EDILAYNE MENESES SALGUEIRO (30h),REGULAR,PRESENCIAL,ABERTA,6T34,6 - 15:15h-16:00h SALA DE AULA - DID 1 - 002 / 6 - 16:00h-16:45h SALA DE AULA - DID 1 - 002,39/40 alunos
LINGUAGENS FORMAIS E COMPUTABILIDADE (GRADUAÇÃO),2024.1,Turma 01,BRENO PIVA RIBEIRO (60h),REGULAR,PRESENCIAL,ABERTA,35T56,3 - 17:00h-18:30h SALA DE AULA - DID 5 - 103 / 5 - 17:00h-18:30h SALA DE AULA - DID 5 - 103,55/55 alunos
LINGUAGENS FORMAIS E COMPUTABILIDADE (GRADUAÇÃO),2024.1,Turma 02,JANIO COUTINHO CANUTO (60h),REGULAR,PRESENCIAL,ABERTA,35T12,3 - 13:30h-15:00h SALA DE AULA - DID 6 - 106 / 5 - 13:30h-15:00h SALA DE AULA - DID 6 - 106,61/55 alunos
LINGUAGENS FORMAIS E COMPUTABILIDADE (GRADUAÇÃO),2024.1,Turma 03,JANIO COUTINHO CANUTO (60h),REGULAR,PRESENCIAL,ABERTA,24N34,2 - 20:45h-22:15h SALA DE AULA - DID 5 - 102 / 4 - 20:45h-22:15h SALA DE AULA - DID 5 - 102,60/55 alunos
LÓGICA PARA COMPUTAÇÃO (GRADUAÇÃO),2024.1,Turma 01,JANIO COUTINHO CANUTO (60h),REGULAR,PRESENCIAL,ABERTA,24N12,2 - 19:00h-20:30h SALA DE AULA - DID 3 - 104 / 4 - 19:00h-20:30h SALA DE AULA - DID 3 - 106,57/55 alunos
MÉTODOS E TÉCNICAS DE PESQUISA PARA COMPUTAÇÃO (GRADUAÇÃO),2024.1,Turma 01,GILTON JOSÉ FERREIRA DA SILVA (30h),REGULAR,PRESENCIAL,ABERTA,6T34,6 - 15:15h-16:00h SALA DE AULA - DID 1 - 008 / 6 - 16:00h-16:45h SALA DE AULA - DID 1 - 008,42/55 alunos
MÉTODOS E TÉCNICAS DE PESQUISA PARA COMPUTAÇÃO (GRADUAÇÃO),2024.1,Turma 02,GILTON JOSÉ FERREIRA DA SILVA (30h),REGULAR,PRESENCIAL,ABERTA,6T12,6 - 13:30h-15:00h SALA DE AULA - DID 6 - 103,56/55 alunos
PRÁTICA EM SISTEMAS DIGITAIS (GRADUAÇÃO),2024.1,Turma 01,RODOLFO BOTTO DE BARROS GARCIA (30h),REGULAR,PRESENCIAL,ABERTA,6T12,6 - 13:30h-15:00h SALA DE AULA - DID 1 - 005,30/30 alunos
PRÁTICA EM SISTEMAS DIGITAIS (GRADUAÇÃO),2024.1,Turma 02,RODOLFO BOTTO DE BARROS GARCIA (30h),REGULAR,PRESENCIAL,ABERTA,6T34,6 - 15:15h-16:00h SALA DE AULA - DID 1 - 005 / 6 - 16:00h-16:45h SALA DE AULA - DID 1 - 005,33/30 alunos
PRÁTICA EM SISTEMAS DIGITAIS (GRADUAÇÃO),2024.1,Turma 03,RODOLFO BOTTO DE BARROS GARCIA (30h),REGULAR,PRESENCIAL,ABERTA,5T34,5 - 15:15h-16:00h SALA DE AULA - DID 1 - 105 / 5 - 16:00h-16:45h SALA DE AULA - DID 1 - 105,30/30 alunos
PRÁTICA EM SISTEMAS DIGITAIS (GRADUAÇÃO),2024.1,Turma 04,RODOLFO BOTTO DE BARROS GARCIA (30h),REGULAR,PRESENCIAL,ABERTA,6T56,6 - 17:00h-18:30h SALA DE AULA - DID 1 - 006,31/30 alunos
PRÁTICA EM SISTEMAS DIGITAIS (GRADUAÇÃO),2024.1,Turma 05,RODOLFO BOTTO DE BARROS GARCIA (30h),REGULAR,PRESENCIAL,ABERTA,5T12,5 - 13:30h-15:00h SALA DE AULA - DID 4 - 108,28/30 alunos
PRÁTICA ORIENTADA EM COMPUTAÇÃO I (GRADUAÇÃO),2024.1,Turma 01,"DEBORA MARIA COELHO NASCIMENTO (60h), EDILAYNE MENESES SALGUEIRO (60h) e RICARDO JOSE PAIVA DE BRITTO SALGUEIRO (60h)",REGULAR,PRESENCIAL,ABERTA,246T3456,2 - 15:15h-16:00h SALA DE AULA - DID 5 - 012 / 2 - 16:00h-18:30h SALA DE AULA - DID 5 - 012 / 4 - 15:15h-16:00h SALA DE AULA - DID 5 - 012 / 4 - 16:00h-18:30h SALA DE AULA - DID 5 - 012 / 6 - 15:15h-16:00h SALA DE AULA - DID 5 - 107 / 6 - 16:00h-18:30h SALA DE AULA - DID 5 - 107,41/55 alunos
PRÁTICA ORIENTADA EM COMPUTAÇÃO I (GRADUAÇÃO),2024.1,Turma 02,"DEBORA MARIA COELHO NASCIMENTO (60h), GIOVANNY FERNANDO LUCERO PALMA (60h) e EDWARD DAVID MORENO ORDONEZ (60h)",REGULAR,PRESENCIAL,ABERTA,356N1234,3 - 19:00h-22:15h SALA DE AULA - DID 4 - 001 / 5 - 19:00h-22:15h SALA DE AULA - DID 3 - 002 / 6 - 19:00h-22:15h SALA DE AULA - DID 3 - 020,57/55 alunos
PRÁTICA ORIENTADA EM COMPUTAÇÃO II (GRADUAÇÃO),2024.1,Turma 01,DEBORA MARIA COELHO NASCIMENTO (60h) e EDWARD DAVID MORENO ORDONEZ (60h),REGULAR,PRESENCIAL,ABERTA,35T3456,3 - 15:15h-16:00h SALA DE AULA - DID 4 - 108 / 3 - 16:00h-18:30h SALA DE AULA - DID 4 - 108 / 5 - 15:15h-16:00h SALA DE AULA - DID 4 - 108 / 5 - 16:00h-18:30h SALA DE AULA - DID 4 - 108,19/55 alunos
PROCESSAMENTO DE IMAGENS (GRADUAÇÃO),2024.1,Turma IND01,LEONARDO NOGUEIRA MATOS (4h),ENSINO INDIVIDUAL,PRESENCIAL,ABERTA,,Local a Definir,2/2 alunos
